self.epoch: 0, lr: [0.0001, 0.001, 0.0002, 0.0001, 0.0001]
epoch  5/ 8 | batch   126/  404 | examples/s: 2.5 | loss: 0.0874 | loss_pe/0: 0.0874 | self_loss: 0.0874 | min_d: 0.0093 | max_d: 0.2399 | time elapsed: 01h44m35s | time left: 01h29m27s
epoch  5/ 8 | batch   151/  404 | examples/s: 2.5 | loss: 0.0959 | loss_pe/0: 0.0959 | self_loss: 0.0959 | min_d: 0.0099 | max_d: 0.2523 | time elapsed: 01h45m35s | time left: 01h27m32s
epoch  5/ 8 | batch   176/  404 | examples/s: 2.4 | loss: 0.0636 | loss_pe/0: 0.0636 | self_loss: 0.0636 | min_d: 0.0110 | max_d: 0.2257 | time elapsed: 01h46m35s | time left: 01h25m39s
epoch  5/ 8 | batch   184/  404 | examples/s: 2.5 | loss: 0.1056 | loss_pe/0: 0.1056 | self_loss: 0.1056 | min_d: 0.0207 | max_d: 0.2445 | time elapsed: 01h46m54s | time left: 01h25m03s
epoch  5/ 8 | batch   201/  404 | examples/s: 2.5 | loss: 0.1042 | loss_pe/0: 0.1042 | self_loss: 0.1042 | min_d: 0.0131 | max_d: 0.2338 | time elapsed: 01h47m36s | time left: 01h23m47s
epoch  5/ 8 | batch   226/  404 | examples/s: 2.4 | loss: 0.1343 | loss_pe/0: 0.1343 | self_loss: 0.1343 | min_d: 0.0088 | max_d: 0.2328 | time elapsed: 01h48m36s | time left: 01h21m57s
epoch  5/ 8 | batch   251/  404 | examples/s: 2.5 | loss: 0.1182 | loss_pe/0: 0.1182 | self_loss: 0.1182 | min_d: 0.0121 | max_d: 0.2818 | time elapsed: 01h49m37s | time left: 01h20m08s
epoch  5/ 8 | batch   276/  404 | examples/s: 2.5 | loss: 0.1186 | loss_pe/0: 0.1186 | self_loss: 0.1186 | min_d: 0.0105 | max_d: 0.2358 | time elapsed: 01h50m37s | time left: 01h18m21s
epoch  5/ 8 | batch   301/  404 | examples/s: 2.5 | loss: 0.1450 | loss_pe/0: 0.1450 | self_loss: 0.1450 | min_d: 0.0222 | max_d: 0.2245 | time elapsed: 01h51m38s | time left: 01h16m35s
epoch  5/ 8 | batch   326/  404 | examples/s: 2.4 | loss: 0.1451 | loss_pe/0: 0.1451 | self_loss: 0.1451 | min_d: 0.0168 | max_d: 0.2333 | time elapsed: 01h52m39s | time left: 01h14m49s
epoch  5/ 8 | batch   351/  404 | examples/s: 2.5 | loss: 0.1608 | loss_pe/0: 0.1608 | self_loss: 0.1608 | min_d: 0.0121 | max_d: 0.2359 | time elapsed: 01h53m39s | time left: 01h13m06s
epoch  5/ 8 | batch   376/  404 | examples/s: 2.5 | loss: 0.1655 | loss_pe/0: 0.1655 | self_loss: 0.1655 | min_d: 0.0110 | max_d: 0.2440 | time elapsed: 01h54m40s | time left: 01h11m22s
epoch  5/ 8 | batch   384/  404 | examples/s: 2.5 | loss: 0.0139 | loss_pe/0: 0.0139 | self_loss: 0.0139 | min_d: 0.0116 | max_d: 0.2343 | time elapsed: 01h54m59s | time left: 01h10m50s
self.epoch: 5, lr: [0.0001, 0.001, 0.0002, 0.0001, 0.0001]
epoch  6/ 8 | batch   180/  404 | examples/s: 2.4 | loss: 0.1197 | loss_pe/0: 0.1197 | self_loss: 0.1197 | min_d: 0.0223 | max_d: 0.2422 | time elapsed: 02h11m27s | time left: 01h01m39s
epoch  6/ 8 | batch   380/  404 | examples/s: 2.4 | loss: 0.0930 | loss_pe/0: 0.0930 | self_loss: 0.0930 | min_d: 0.0100 | max_d: 0.2624 | time elapsed: 02h19m45s | time left: 00h48m26s
self.epoch: 6, lr: [0.0001, 0.001, 0.0002, 0.0001, 0.0001]
epoch  7/ 8 | batch   176/  404 | examples/s: 2.5 | loss: 0.0000 | loss_pe/0: 0.0000 | self_loss: 0.0000 | min_d: 0.0110 | max_d: 0.2323 | time elapsed: 02h35m51s | time left: 00h37m53s
epoch  7/ 8 | batch   376/  404 | examples/s: 2.5 | loss: 0.1097 | loss_pe/0: 0.1097 | self_loss: 0.1097 | min_d: 0.0131 | max_d: 0.2312 | time elapsed: 02h44m04s | time left: 00h25m18s
self.epoch: 7, lr: [0.0001, 0.001, 0.0002, 0.0001, 0.0001]
epoch  8/ 8 | batch     1/  404 | examples/s: 2.2 | loss: 0.1082 | loss_pe/0: 0.1082 | self_loss: 0.1082 | min_d: 0.0186 | max_d: 0.2253 | time elapsed: 02h53m20s | time left: 00h24m41s
epoch  8/ 8 | batch     2/  404 | examples/s: 2.5 | loss: 0.0133 | loss_pe/0: 0.0133 | self_loss: 0.0133 | min_d: 0.0125 | max_d: 0.2293 | time elapsed: 02h53m24s | time left: 00h24m37s
epoch  8/ 8 | batch     3/  404 | examples/s: 2.4 | loss: 0.1315 | loss_pe/0: 0.1315 | self_loss: 0.1315 | min_d: 0.0098 | max_d: 0.2485 | time elapsed: 02h53m26s | time left: 00h24m34s
epoch  8/ 8 | batch     4/  404 | examples/s: 2.4 | loss: 0.0142 | loss_pe/0: 0.0142 | self_loss: 0.0142 | min_d: 0.0111 | max_d: 0.2318 | time elapsed: 02h53m29s | time left: 00h24m30s
epoch  8/ 8 | batch     5/  404 | examples/s: 2.5 | loss: 0.0114 | loss_pe/0: 0.0114 | self_loss: 0.0114 | min_d: 0.0125 | max_d: 0.2332 | time elapsed: 02h53m31s | time left: 00h24m26s
epoch  8/ 8 | batch     6/  404 | examples/s: 2.5 | loss: 0.0964 | loss_pe/0: 0.0964 | self_loss: 0.0964 | min_d: 0.0086 | max_d: 0.2348 | time elapsed: 02h53m33s | time left: 00h24m22s
epoch  8/ 8 | batch     7/  404 | examples/s: 2.5 | loss: 0.0768 | loss_pe/0: 0.0768 | self_loss: 0.0768 | min_d: 0.0091 | max_d: 0.2301 | time elapsed: 02h53m36s | time left: 00h24m18s
epoch  8/ 8 | batch     8/  404 | examples/s: 2.4 | loss: 0.0109 | loss_pe/0: 0.0109 | self_loss: 0.0109 | min_d: 0.0103 | max_d: 0.2320 | time elapsed: 02h53m38s | time left: 00h24m14s
epoch  8/ 8 | batch     9/  404 | examples/s: 2.1 | loss: 0.1277 | loss_pe/0: 0.1277 | self_loss: 0.1277 | min_d: 0.0119 | max_d: 0.2553 | time elapsed: 02h53m41s | time left: 00h24m11s
epoch  8/ 8 | batch    10/  404 | examples/s: 2.5 | loss: 0.1051 | loss_pe/0: 0.1051 | self_loss: 0.1051 | min_d: 0.0150 | max_d: 0.2244 | time elapsed: 02h53m44s | time left: 00h24m07s
epoch  8/ 8 | batch    11/  404 | examples/s: 2.4 | loss: 0.1137 | loss_pe/0: 0.1137 | self_loss: 0.1137 | min_d: 0.0105 | max_d: 0.2252 | time elapsed: 02h53m46s | time left: 00h24m03s
epoch  8/ 8 | batch    12/  404 | examples/s: 2.5 | loss: 0.0915 | loss_pe/0: 0.0915 | self_loss: 0.0915 | min_d: 0.0100 | max_d: 0.2314 | time elapsed: 02h53m48s | time left: 00h23m59s
epoch  8/ 8 | batch    13/  404 | examples/s: 2.5 | loss: 0.1119 | loss_pe/0: 0.1119 | self_loss: 0.1119 | min_d: 0.0102 | max_d: 0.2634 | time elapsed: 02h53m51s | time left: 00h23m55s
epoch  8/ 8 | batch    14/  404 | examples/s: 2.5 | loss: 0.0142 | loss_pe/0: 0.0142 | self_loss: 0.0142 | min_d: 0.0103 | max_d: 0.2298 | time elapsed: 02h53m53s | time left: 00h23m51s
epoch  8/ 8 | batch    15/  404 | examples/s: 2.4 | loss: 0.1192 | loss_pe/0: 0.1192 | self_loss: 0.1192 | min_d: 0.0092 | max_d: 0.2323 | time elapsed: 02h53m56s | time left: 00h23m47s
epoch  8/ 8 | batch    16/  404 | examples/s: 2.5 | loss: 0.0808 | loss_pe/0: 0.0808 | self_loss: 0.0808 | min_d: 0.0108 | max_d: 0.2348 | time elapsed: 02h53m58s | time left: 00h23m44s
epoch  8/ 8 | batch    17/  404 | examples/s: 2.5 | loss: 0.0116 | loss_pe/0: 0.0116 | self_loss: 0.0116 | min_d: 0.0114 | max_d: 0.2310 | time elapsed: 02h54m00s | time left: 00h23m40s
epoch  8/ 8 | batch    18/  404 | examples/s: 2.5 | loss: 0.1557 | loss_pe/0: 0.1557 | self_loss: 0.1557 | min_d: 0.0127 | max_d: 0.2712 | time elapsed: 02h54m03s | time left: 00h23m36s
